Aba,Bigkas na nagbabadya o nagpapahiwtig ng pagkagulat o pagtataka.,Abaw,Ayna,Aba ang ganda niya.,Abaw ka gwapa sa iya.,Ayna! Naggwapa sunan.
Abaka,Isang espesye ng halamng saging na mula sa pilipinas.,Abaka,Abaka,Ngayon lang ako nakakita ng abaka.,Subong lang ko kakita sang abaka.,Tatta ak lang nakakita iti abaka.
Abakada,Ito ay ang isinakatutubong lpabetong latino ng mga wika ng pilipinas.,Abakadahan,Abesedario,Ang abesedario ay binubuo ng mga letra.,Ang abakadahan gina buo sang letra.,Iti Abesedario kit bubuwen iti mga letletra.
Abala,Isang estado na nagpapakitang maraming inaasikaso ang isang tao.,Magpaduyog,Gabay,Abala ang lahat para sa aming handaan.,Magpaduyog ang tanan para sa amon handa.,Gabay iti kaadwan para iti handaan mi.
Abahin,"Aaba, aabahin, inaaba.",Makaluluoy,Panglaw,Abahin ang kapatid niyo.,Makaluluoy ang utod nyo.,Panglawan yu ta kabsat yu.
Abang,Paghihintay sa pagdating ng tao o bagay sa isang lugar.,Hulat,Uray,Mag-abang kayo sa kalsada,Mag hulat kamu sa kalsada.,Aguray kayo iddiay kalsada.
Abangan,"Magbantay, masdan, panoorin.",Bantayan,Abangan,Abangan natin ang susunod na palabas,Bantayan naton ang sunod nga palagwaon.,Abangan tayo adiay sumaruno nga pabuya.
Abante,Paghihintay sa pagdating ng tao o bagay sa isang lugar.,Abante,Abante,Atras-abante ang sasakyan.,Atras-abante ang salakyan.,Atras-abante jay lugan.
Abay,Isang konsorte.,Kaupod,Kadwa,Ang pinsan ko ang abay ko palagi.,Pinan ko ang kaupod ko pirmi.,Diay kasinsin ko iti kadwak kanayon.
Abayan,"Inaabayan, inabayan, aabayan.",Updan,Kuyogen,Abayan nyo ang kapatid ko.,Updan nyo ang utod ko.,Kuyogen yu adiay kabsat ko.
Abo,Pinaghalong itim at puti.,Abo,Dapo,Kulay abo ang aking pusa.,Kulay abo  ang akon kuring.,Kulay dapo adiay pusak.
Abog,Isang babala.,Abog,Abog,Nagbigay siya ng abog.,Naghatag siya sang abog.,Nangted suna iti abog.
Abogado,Mananggol at isang representibo ng isang tao.,Abogado,Abogado,Ang aking pinsan ay abogado.,Abogado ang akon pinsan.,Abogado atoy kasinsin ko.
Abot,Ito ay pagbibigay.,Dangaton,Gunod,Abot ko ang saging.,Dangaton ko ang saging.,Gunod ko adiay saba.
Aboy,Ito ay Pagtataboy.,Halin,Alis,Inaboy ko ang mga lalaking bastos na yon.,Ginpahalin ko ang mga lalaki nga bastos.,Pinaalis ko agidiay mga bastos nga babbaro.
Abubot,arte sa katawan,Alahas,Kurkurantong,Mahilig sa abubot si jolina.,Gusto gusto ni Jolina ang mga alahas.,Nahilig iti kurkurantong ni Jolina.
Abuhin,Kulay abo,Abuhon,Dapog,Abuhin niyo na yan.,Abuhon niyo don na.,Dapogen yu daytan.
Abuloy,Kontribusyon sa tao.,Mag-amot,Paset,Kami ay nagbigay ng abuloy sa namatayan.,Mag-amot kami sa namatyan.,Nangted kami iti paset iddiay natayan.
